hs_prefix,categories,rationale
8712,"toys,automotive","bicycles are both recreational goods and vehicles"
8711,"toys,automotive","motorcycles/mopeds straddle recreational and vehicle"
8713,"pharmaceuticals,automotive","invalid carriages/wheelchairs are medical devices + vehicles"
3002,"pharmaceuticals,perishables","vaccines/antisera ship cold-chain"
3003,"pharmaceuticals,perishables","medicaments in bulk that require refrigeration"
3101,"chemicals,agriculture","animal/vegetable fertilizers — both chemicals and agri inputs"
4202,"luxury,textiles","leather handbags/luggage — luxury goods in textile supply chain"
8418,"electronics,machinery","refrigerators — electrical appliance and HVAC machinery"
8415,"electronics,machinery","air conditioning machines — appliance and HVAC machinery"
8716,"automotive,machinery","trailers and non-mechanical vehicles"
9018,"pharmaceuticals,electronics","medical instruments (MRI, X-ray) — electronics with clinical use"
9021,"pharmaceuticals,textiles","orthopedic appliances — medical textiles"
2402,"food_beverages,agriculture","cigars, cigarettes — processed tobacco from agri raw"
1302,"chemicals,agriculture","vegetable saps and extracts — chemical precursors from plants"
